ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
15123168209,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,10779,31529,20749,10,10,2000,8000,412,99,3,7.75293e+06,6.72962e+06,25448,539374955,ok(locked)
15123492506,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7781,28139,20357,10,10,2000,8000,412,99,3,7.69993e+06,6.77438e+06,25448,539383081,ok(locked)
15123819350,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9921,30671,20749,10,10,2000,8000,412,99,3,7.6926e+06,6.75497e+06,25935,539391264,ok(locked)
15124142080,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6230,26409,20178,10,10,2000,8000,412,99,3,7.72217e+06,6.73395e+06,25448,539399331,ok(locked)
15124465265,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6748,27128,20379,10,10,2000,8000,412,99,3,7.68627e+06,6.76058e+06,25448,539407410,ok(locked)
15124786843,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5170,25429,20258,10,10,2000,8000,412,99,3,7.72998e+06,6.73148e+06,25448,539415460,ok(locked)
15125107960,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4499,24710,20210,10,10,2000,8000,412,99,3,7.7109e+06,6.77618e+06,25448,539423488,ok(locked)
15125430850,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6055,26306,20250,10,10,2000,8000,412,99,3,7.70125e+06,6.76593e+06,25448,539431561,ok(locked)
15125751438,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3703,23933,20229,10,10,2000,8000,412,99,3,7.68883e+06,6.77675e+06,25448,539439574,ok(locked)
15126093763,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5763,26103,20339,10,10,2000,8000,412,99,3,7.68752e+06,6.76005e+06,25448,539448132,ok(locked)
15126343672,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3627,23926,20298,10,10,2000,8000,412,99,3,7.6885e+06,6.7971e+06,25448,539454386,ok(locked)
15126663865,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3578,23911,20332,10,10,2000,8000,412,99,3,7.7273e+06,6.73177e+06,25448,539462389,ok(locked)
15126984169,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3570,24081,20510,10,10,2000,8000,412,99,3,7.73938e+06,6.72143e+06,25448,539470405,ok(locked)
15127305316,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4036,24767,20730,10,10,2000,8000,412,99,3,7.72357e+06,6.7523e+06,25448,539478443,ok(locked)
15127626380,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3513,23755,20241,10,10,2000,8000,412,99,3,7.71755e+06,6.73547e+06,25448,539486479,ok(locked)
15127946520,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3549,23815,20265,10,10,2000,8000,412,99,3,7.72442e+06,6.73702e+06,25448,539494488,ok(locked)
15128266627,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3583,23961,20377,10,10,2000,8000,412,99,3,7.72245e+06,6.7326e+06,25448,539502498,ok(locked)
15128587100,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3490,23900,20408,10,10,2000,8000,412,99,3,7.74595e+06,6.74432e+06,25448,539510518,ok(locked)
15128907633,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3685,24069,20383,10,10,2000,8000,412,99,3,7.70125e+06,6.77055e+06,25448,539518543,ok(locked)
15129228214,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4002,24403,20400,10,10,2000,8000,412,99,3,7.69377e+06,6.75797e+06,25448,539526574,ok(locked)
