ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
3790071618,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790072080,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790072580,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790073049,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790073517,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790074030,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790074489,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790074963,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790075483,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790075937,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790076434,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790076920,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790077382,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790077872,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790078348,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790078817,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790079332,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790079797,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790080283,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790080783,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790083403,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790083860,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790084334,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790084823,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790085977,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790086441,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790086909,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790087421,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790087897,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790088392,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790088884,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790089346,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790089957,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790090427,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790090889,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790091413,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790091867,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790092344,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790092825,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790093321,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790093859,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,2,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790094341,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790094811,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790095316,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790095776,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790096259,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
