ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
3762235984,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762236447,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762236899,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762237344,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762237787,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762238241,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762238687,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762239135,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762239582,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762240038,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762240487,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762240938,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762241391,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762241836,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762242284,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762242729,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762243183,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762243635,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762244091,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762244867,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762245317,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762245765,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762246216,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762246657,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762247108,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762247558,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762248023,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762248470,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762248921,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85258072,Not Supported
3762251502,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762251948,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762252392,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762252835,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762253289,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762253734,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762254178,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762254629,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762255074,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762255515,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762255961,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762256410,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
3762256855,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85258843,Not Supported
