type,workload,file,ts_us,device_id,from_gpu_mhz,to_gpu_mhz,final_gpu_mhz,api_us,settle_after_call_us,settle_total_us,polls,stable_n,power_mw,energy_mj_best,status
comm,high,dvfs_comm_high.csv,17609041212,0,1530,1252,1252,14109,20725,34835,10,10,40033,17098.0,ok(locked)
comm,high,dvfs_comm_high.csv,17569569495,0,1530,1252,1252,14016,20540,34557,10,10,40033,17094.0,ok(locked)
comm,low,dvfs_comm_low.csv,14786589870,0,1252,975,975,10453,24011,34465,10,10,30298,12121.0,ok(locked)
comm,high,dvfs_comm_high.csv,17585774813,0,1530,1252,1252,13681,20529,34211,10,10,40033,18081.0,ok(locked)
comm,high,dvfs_comm_high.csv,17580054034,0,1530,1252,1252,13407,20759,34167,10,10,40033,17040.0,ok(locked)
comm,low,dvfs_comm_low.csv,14853705433,0,1252,975,975,10247,23789,34038,10,10,30298,12100.0,ok(locked)
comm,high,dvfs_comm_high.csv,17583778850,0,1530,1252,1252,13281,20719,34002,10,10,40033,17038.0,ok(locked)
comm,high,dvfs_comm_high.csv,17556430415,0,1530,1252,1252,13207,20750,33958,10,10,39546,16730.0,ok(locked)
comm,low,dvfs_comm_low.csv,14999493282,0,1530,1252,1252,13224,20679,33904,10,10,38086,16442.0,ok(locked)
comm,low,dvfs_comm_low.csv,15003075898,0,1530,1252,1252,13165,20706,33872,10,10,38086,16169.0,ok(locked)
comm,high,dvfs_comm_high.csv,17619974148,0,1530,1252,1252,12543,21316,33860,10,10,40033,16937.0,ok(locked)
comm,high,dvfs_comm_high.csv,17464338912,0,1252,1530,1530,11697,22154,33852,10,10,49734,13271.0,ok(locked)
comm,low,dvfs_comm_low.csv,15045297384,0,1530,1252,1252,10705,23144,33850,10,10,38573,16476.0,ok(locked)
comm,high,dvfs_comm_high.csv,17547489779,0,1530,1252,1252,12576,21184,33761,10,10,39546,16828.0,ok(locked)
comm,high,dvfs_comm_high.csv,17581625416,0,1530,1252,1252,12675,21078,33755,10,10,40033,16851.0,ok(locked)
comm,high,dvfs_comm_high.csv,17445399431,0,1252,975,975,12495,21241,33737,10,10,31758,12751.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16572149411,0,1530,1252,1252,13316,20305,33622,10,10,39546,17998.0,ok(locked)
comm,high,dvfs_comm_high.csv,17608050700,0,1530,1252,1252,12346,21137,33484,10,10,40033,16994.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16590972402,0,1530,1252,1252,13026,20423,33451,10,10,39546,16972.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16612916292,0,1530,1252,1252,12723,20692,33416,10,10,39546,16936.0,ok(locked)
comm,high,dvfs_comm_high.csv,17522921831,0,1252,1530,1530,12946,20458,33405,10,10,49248,13329.0,ok(locked)
comm,low,dvfs_comm_low.csv,14994281800,0,1530,1252,1252,13317,20083,33401,10,10,38086,16132.0,ok(locked)
comm,high,dvfs_comm_high.csv,17456818928,0,1252,1530,1530,11253,22141,33395,10,10,49734,13375.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16557209027,0,1530,1252,1252,12761,20613,33375,10,10,39546,16720.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16618035136,0,1530,1252,1252,12904,20435,33340,10,10,40033,17058.0,ok(locked)
comm,low,dvfs_comm_low.csv,15006658796,0,1530,1252,1252,12420,20888,33308,10,10,38086,16470.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16553400120,0,1530,1252,1252,12099,21175,33276,10,10,40033,16550.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16193631313,0,975,690,690,9953,23308,33263,10,10,28838,10196.0,ok(locked)
comm,high,dvfs_comm_high.csv,17549803075,0,1530,1252,1252,12380,20867,33248,10,10,40033,16970.0,ok(locked)
comm,low,dvfs_comm_low.csv,14316441211,0,412,690,690,10275,22929,33205,10,10,26891,8007.0,ok(locked)
